@RELATION StarWars

@ATTRIBUTE have-you-seen-any-of-the-6-films-in-the-star-wars-franchise {No,Yes}
@ATTRIBUTE which-character-shot-first {?,Greedo,Han,none}
@ATTRIBUTE are-you-familiar-with-the-expanded-universe {?,No,Yes}
@ATTRIBUTE do-you-consider-yourself-to-be-a-fan-of-the-expanded-universe {?,No,Yes}
@ATTRIBUTE gender {?,Female,Male}
@ATTRIBUTE age {'18-29','30-44','45-60','60',?}
@ATTRIBUTE household-income {'0-24.999','100.000-149.999','150.000','25.000-49.999','50.000-99.999',?}
@ATTRIBUTE education {?,AssociateDegree,BachelorDegree,GraduateDegree,HighSchool,LessThanHighSchool}
@ATTRIBUTE do-you-consider-yourself-to-be-a-fan-of-the-star-trek-franchise {?,No,Yes}
@ATTRIBUTE do-you-consider-yourself-to-be-a-fan-of-the-star-wars-film-franchise {?,No,Yes}

@DATA
Yes,none,Yes,No,Male,'18-29',?,HighSchool,No,Yes
No,?,?,?,Male,'18-29','0-24.999',BachelorDegree,Yes,?
Yes,none,No,?,Male,'18-29','0-24.999',HighSchool,No,No
Yes,none,No,?,Male,'18-29','100.000-149.999',AssociateDegree,Yes,Yes
Yes,Greedo,Yes,No,Male,'18-29','100.000-149.999',AssociateDegree,No,Yes
Yes,Han,Yes,No,Male,'18-29','25.000-49.999',BachelorDegree,Yes,Yes
Yes,Han,Yes,No,Male,'18-29',?,HighSchool,No,Yes
Yes,Han,No,?,Male,'18-29',?,HighSchool,Yes,Yes
Yes,Han,No,?,Male,'18-29','0-24.999',AssociateDegree,No,Yes
Yes,none,No,?,Male,'18-29','25.000-49.999',AssociateDegree,No,No
Yes,?,?,?,?,?,?,?,?,?
No,?,?,?,?,?,?,?,?,?
Yes,Greedo,No,?,Male,'18-29','25.000-49.999',BachelorDegree,No,No
Yes,none,No,?,Male,'30-44','50.000-99.999',GraduateDegree,No,Yes
Yes,Han,No,?,Male,'18-29',?,HighSchool,No,Yes
Yes,Han,Yes,Yes,Male,'18-29','0-24.999',AssociateDegree,Yes,Yes
Yes,Han,Yes,Yes,Male,'18-29','50.000-99.999',BachelorDegree,No,Yes
Yes,Greedo,No,?,Male,'18-29',?,AssociateDegree,No,Yes
Yes,Han,No,?,Male,'18-29',?,HighSchool,No,Yes
Yes,Greedo,No,?,Male,'18-29','50.000-99.999',AssociateDegree,Yes,Yes
Yes,Han,No,?,Male,'18-29',?,AssociateDegree,No,Yes
Yes,none,No,?,Male,'18-29',?,BachelorDegree,No,No
Yes,Greedo,Yes,Yes,Male,'18-29','50.000-99.999',BachelorDegree,Yes,Yes
Yes,Han,No,?,Male,'18-29','0-24.999',BachelorDegree,No,Yes
Yes,Han,No,?,Male,'18-29',?,?,No,Yes
No,?,?,?,Male,'18-29','0-24.999',HighSchool,Yes,?
Yes,Greedo,Yes,No,Male,'18-29','100.000-149.999',AssociateDegree,No,Yes
Yes,Greedo,No,?,Male,'18-29',?,AssociateDegree,No,Yes
Yes,Han,Yes,No,Male,'18-29',?,AssociateDegree,No,Yes
Yes,Han,Yes,Yes,Male,'18-29','150.000',AssociateDegree,Yes,Yes
Yes,none,No,?,Male,'30-44','0-24.999',HighSchool,No,No
Yes,Han,Yes,Yes,Male,'30-44','50.000-99.999',AssociateDegree,Yes,Yes
Yes,Han,No,?,Male,'18-29',?,?,No,No
Yes,Han,No,?,Male,'18-29','50.000-99.999',HighSchool,No,No
